Bearish_divergence_daily.txt: Unexpected error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
Bull_Divergence_Daily.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23BE30>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Buy_BB_1SD_Chetan.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B2686E0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
buy_BB_Revs_Chetan.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706AD83950>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Buy_GSS_Future.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23BDA0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Buy_GSS_NEAR.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B238AA0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Daily_Morning_Star.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B239370>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Dow_HH.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B239BB0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Heavy_Volume_Future.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23A3F0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
index_buy_option_chetan.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23AC90>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
momentum.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002704FDD4E90>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Open_High.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B239F70>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Open_High_yesterday.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B238E00>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Open_low.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B238BC0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
Open_low_Yesterday.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23BDA0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
RKB_Bearish_candle.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23B770>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
RKB_Bearish_candle_yesterday.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706AD276B0>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
RKB_Bullish_candle.txt: Unexpected error: HTTPSConnectionPool(host='chartink.com', port=443): Max retries exceeded with url: /screener/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002706B23B860>: Failed to resolve 'chartink.com' ([Errno 11001] getaddrinfo failed)"))
